,ssp245,ssp245-ModAggr,ssp245-Aggr
1750.5,729.2,729.2,729.2
1751.5,729.1824880392843,729.1824880392843,729.1824880392843
1752.5,729.144890039923,729.144890039923,729.144890039923
1753.5,729.1453898031393,729.1453898031393,729.1453898031393
1754.5,729.2494541283488,729.2494541283488,729.2494541283488
1755.5,729.4070211620024,729.4070211620024,729.4070211620024
1756.5,729.5418069553327,729.5418069553327,729.5418069553327
1757.5,729.7513018549573,729.7513018549573,729.7513018549573
1758.5,730.0196979248371,730.0196979248371,730.0196979248371
1759.5,730.2822249981227,730.2822249981227,730.2822249981227
1760.5,730.600548914574,730.600548914574,730.600548914574
1761.5,730.9410734540911,730.9410734540911,730.9410734540911
1762.5,731.2548482902523,731.2548482902523,731.2548482902523
1763.5,731.5542795607996,731.5542795607996,731.5542795607996
1764.5,731.7938698539526,731.7938698539526,731.7938698539526
1765.5,732.0734249454699,732.0734249454699,732.0734249454699
1766.5,732.4253937294707,732.4253937294707,732.4253937294707
1767.5,732.7567444663418,732.7567444663418,732.7567444663418
1768.5,733.1920720946201,733.1920720946201,733.1920720946201
1769.5,733.6699622887819,733.6699622887819,733.6699622887819
1770.5,734.097892256124,734.097892256124,734.097892256124
1771.5,734.4727742696471,734.4727742696471,734.4727742696471
1772.5,734.7706481807431,734.7706481807431,734.7706481807431
1773.5,735.0674609024147,735.0674609024147,735.0674609024147
1774.5,735.4814095199861,735.4814095199861,735.4814095199861
1775.5,735.9575754234237,735.9575754234237,735.9575754234237
1776.5,736.3683473520309,736.3683473520309,736.3683473520309
1777.5,736.8018094328083,736.8018094328083,736.8018094328083
1778.5,737.3139249298821,737.3139249298821,737.3139249298821
1779.5,737.8194772120504,737.8194772120504,737.8194772120504
1780.5,738.3427810035171,738.3427810035171,738.3427810035171
1781.5,738.887813845082,738.887813845082,738.887813845082
1782.5,739.3962931692022,739.3962931692022,739.3962931692022
1783.5,739.8778743225564,739.8778743225564,739.8778743225564
1784.5,740.3111445803316,740.3111445803316,740.3111445803316
1785.5,740.7831296919958,740.7831296919958,740.7831296919958
1786.5,741.301839949197,741.301839949197,741.301839949197
1787.5,741.8303069140472,741.8303069140472,741.8303069140472
1788.5,742.4783926524923,742.4783926524923,742.4783926524923
1789.5,743.153727723341,743.153727723341,743.153727723341
1790.5,743.7769553844585,743.7769553844585,743.7769553844585
1791.5,744.348516152475,744.348516152475,744.348516152475
1792.5,744.8421027014399,744.8421027014399,744.8421027014399
1793.5,745.3302453619549,745.3302453619549,745.3302453619549
1794.5,745.9328845103516,745.9328845103516,745.9328845103516
1795.5,746.6032502013476,746.6032502013476,746.6032502013476
1796.5,747.2056817067848,747.2056817067848,747.2056817067848
1797.5,747.829308580239,747.829308580239,747.829308580239
1798.5,748.5297342588849,748.5297342588849,748.5297342588849
1799.5,749.2442263343455,749.2442263343455,749.2442263343455
1800.5,749.9779824422391,749.9779824422391,749.9779824422391
1801.5,750.7119237500999,750.7119237500999,750.7119237500999
1802.5,751.4229603964994,751.4229603964994,751.4229603964994
1803.5,752.0989847646388,752.0989847646388,752.0989847646388
1804.5,752.7288464232629,752.7288464232629,752.7288464232629
1805.5,753.4045458562492,753.4045458562492,753.4045458562492
1806.5,754.1298029010452,754.1298029010452,754.1298029010452
1807.5,754.8712699645755,754.8712699645755,754.8712699645755
1808.5,755.7215875784553,755.7215875784553,755.7215875784553
1809.5,756.6059518419543,756.6059518419543,756.6059518419543
1810.5,757.4731543893986,757.4731543893986,757.4731543893986
1811.5,758.3380521807475,758.3380521807475,758.3380521807475
1812.5,759.1196133768178,759.1196133768178,759.1196133768178
1813.5,759.8752718046594,759.8752718046594,759.8752718046594
1814.5,760.7396590742901,760.7396590742901,760.7396590742901
1815.5,761.6607621236819,761.6607621236819,761.6607621236819
1816.5,762.5856732933369,762.5856732933369,762.5856732933369
1817.5,763.5910924540922,763.5910924540922,763.5910924540922
1818.5,764.6521666218614,764.6521666218614,764.6521666218614
1819.5,765.6935929172346,765.6935929172346,765.6935929172346
1820.5,766.7149677307577,766.7149677307577,766.7149677307577
1821.5,767.7316444776698,767.7316444776698,767.7316444776698
1822.5,768.7078155114425,768.7078155114425,768.7078155114425
1823.5,769.6245714910835,769.6245714910835,769.6245714910835
1824.5,770.5023191319526,770.5023191319526,770.5023191319526
1825.5,771.4226881510026,771.4226881510026,771.4226881510026
1826.5,772.37020849315,772.37020849315,772.37020849315
1827.5,773.3296940128325,773.3296940128325,773.3296940128325
1828.5,774.4127219965624,774.4127219965624,774.4127219965624
1829.5,775.5361036793779,775.5361036793779,775.5361036793779
1830.5,776.617375749041,776.617375749041,776.617375749041
1831.5,777.6545667780124,777.6545667780124,777.6545667780124
1832.5,778.6624140231954,778.6624140231954,778.6624140231954
1833.5,779.735150629433,779.735150629433,779.735150629433
1834.5,780.926514245434,780.926514245434,780.926514245434
1835.5,782.1284301453686,782.1284301453686,782.1284301453686
1836.5,783.2881733187082,783.2881733187082,783.2881733187082
1837.5,784.485780714265,784.485780714265,784.485780714265
1838.5,785.7237930849892,785.7237930849892,785.7237930849892
1839.5,786.9692818047204,786.9692818047204,786.9692818047204
1840.5,788.1969019190926,788.1969019190926,788.1969019190926
1841.5,789.4467368697585,789.4467368697585,789.4467368697585
1842.5,790.6970950622147,790.6970950622147,790.6970950622147
1843.5,791.8687843299883,791.8687843299883,791.8687843299883
1844.5,792.9992657957819,792.9992657957819,792.9992657957819
1845.5,794.1999832126095,794.1999832126095,794.1999832126095
1846.5,795.4556064074252,795.4556064074252,795.4556064074252
1847.5,796.7516629821489,796.7516629821489,796.7516629821489
1848.5,798.1796168464095,798.1796168464095,798.1796168464095
1849.5,799.6417728250328,799.6417728250328,799.6417728250328
1850.5,801.0873231583419,801.0873231583419,801.0873231583419
1851.5,802.4811644111167,802.4811644111167,802.4811644111167
1852.5,803.7662383502211,803.7662383502211,803.7662383502211
1853.5,805.0477760044555,805.0477760044555,805.0477760044555
1854.5,806.4695511145825,806.4695511145825,806.4695511145825
1855.5,807.9422859812358,807.9422859812358,807.9422859812358
1856.5,809.3721343266327,809.3721343266327,809.3721343266327
1857.5,810.861019892293,810.861019892293,810.861019892293
1858.5,812.4176614863574,812.4176614863574,812.4176614863574
1859.5,813.9887774609983,813.9887774609983,813.9887774609983
1860.5,815.558823585188,815.558823585188,815.558823585188
1861.5,817.1905791133579,817.1905791133579,817.1905791133579
1862.5,818.9667467510294,818.9667467510294,818.9667467510294
1863.5,820.8285783238052,820.8285783238052,820.8285783238052
1864.5,822.7896423090021,822.7896423090021,822.7896423090021
1865.5,824.9789543922302,824.9789543922302,824.9789543922302
1866.5,827.3246702010479,827.3246702010479,827.3246702010479
1867.5,829.7750185001976,829.7750185001976,829.7750185001976
1868.5,832.4248023325093,832.4248023325093,832.4248023325093
1869.5,835.1465326513705,835.1465326513705,835.1465326513705
1870.5,837.9003749795215,837.9003749795215,837.9003749795215
1871.5,840.6903343586957,840.6903343586957,840.6903343586957
1872.5,843.407457060611,843.407457060611,843.407457060611
1873.5,846.2238866920005,846.2238866920005,846.2238866920005
1874.5,849.2594224424006,849.2594224424006,849.2594224424006
1875.5,852.3264414953485,852.3264414953485,852.3264414953485
1876.5,855.399319958689,855.399319958689,855.399319958689
1877.5,858.5683581151773,858.5683581151773,858.5683581151773
1878.5,861.8059660723541,861.8059660723541,861.8059660723541
1879.5,865.1436686612419,865.1436686612419,865.1436686612419
1880.5,868.5182207486868,868.5182207486868,868.5182207486868
1881.5,871.8849346941615,871.8849346941615,871.8849346941615
1882.5,875.2714813267978,875.2714813267978,875.2714813267978
1883.5,878.5932603781001,878.5932603781001,878.5932603781001
1884.5,881.9429569878188,881.9429569878188,881.9429569878188
1885.5,885.4964078437342,885.4964078437342,885.4964078437342
1886.5,889.1642342553041,889.1642342553041,889.1642342553041
1887.5,892.8577791633461,892.8577791633461,892.8577791633461
1888.5,896.6190665328778,896.6190665328778,896.6190665328778
1889.5,900.3872466914183,900.3872466914183,900.3872466914183
1890.5,904.119182629596,904.119182629596,904.119182629596
1891.5,907.7976097373783,907.7976097373783,907.7976097373783
1892.5,911.3813481402633,911.3813481402633,911.3813481402633
1893.5,915.0115947491088,915.0115947491088,915.0115947491088
1894.5,918.8209328369496,918.8209328369496,918.8209328369496
1895.5,922.693465168375,922.693465168375,922.693465168375
1896.5,926.4594466505514,926.4594466505514,926.4594466505514
1897.5,930.2519799426807,930.2519799426807,930.2519799426807
1898.5,934.0937929848299,934.0937929848299,934.0937929848299
1899.5,937.994105536952,937.994105536952,937.994105536952
1900.5,941.9538327064002,941.9538327064002,941.9538327064002
1901.5,945.8348291928946,945.8348291928946,945.8348291928946
1902.5,949.6380006255827,949.6380006255827,949.6380006255827
1903.5,953.3655564837038,953.3655564837038,953.3655564837038
1904.5,957.1938605412125,957.1938605412125,957.1938605412125
1905.5,961.1716945411324,961.1716945411324,961.1716945411324
1906.5,965.1021818108761,965.1021818108761,965.1021818108761
1907.5,969.0195846884073,969.0195846884073,969.0195846884073
1908.5,973.0188904164341,973.0188904164341,973.0188904164341
1909.5,976.9844295479563,976.9844295479563,976.9844295479563
1910.5,980.9456638179527,980.9456638179527,980.9456638179527
1911.5,984.8800270552103,984.8800270552103,984.8800270552103
1912.5,988.6831519998082,988.6831519998082,988.6831519998082
1913.5,992.5670167458991,992.5670167458991,992.5670167458991
1914.5,996.7126024073289,996.7126024073289,996.7126024073289
1915.5,1000.9385274265404,1000.9385274265404,1000.9385274265404
1916.5,1005.0510578665788,1005.0510578665788,1005.0510578665788
1917.5,1009.1507653743522,1009.1507653743522,1009.1507653743522
1918.5,1013.3291702439824,1013.3291702439824,1013.3291702439824
1919.5,1017.6186110914307,1017.6186110914307,1017.6186110914307
1920.5,1021.9403827091872,1021.9403827091872,1021.9403827091872
1921.5,1026.1462367219215,1026.1462367219215,1026.1462367219215
1922.5,1030.1921697906691,1030.1921697906691,1030.1921697906691
1923.5,1034.3085343160365,1034.3085343160365,1034.3085343160365
1924.5,1038.4507635001273,1038.4507635001273,1038.4507635001273
1925.5,1042.4427448547724,1042.4427448547724,1042.4427448547724
1926.5,1046.4024434256162,1046.4024434256162,1046.4024434256162
1927.5,1050.3554561258447,1050.3554561258447,1050.3554561258447
1928.5,1054.3434386835402,1054.3434386835402,1054.3434386835402
1929.5,1058.3758436845555,1058.3758436845555,1058.3758436845555
1930.5,1062.6337742472306,1062.6337742472306,1062.6337742472306
1931.5,1066.887892979068,1066.887892979068,1066.887892979068
1932.5,1071.0758669028014,1071.0758669028014,1071.0758669028014
1933.5,1075.3638348574564,1075.3638348574564,1075.3638348574564
1934.5,1079.7486668107604,1079.7486668107604,1079.7486668107604
1935.5,1084.1882611910833,1084.1882611910833,1084.1882611910833
1936.5,1088.664472090863,1088.664472090863,1088.664472090863
1937.5,1093.1364735955576,1093.1364735955576,1093.1364735955576
1938.5,1097.4530884343355,1097.4530884343355,1097.4530884343355
1939.5,1101.821398974085,1101.821398974085,1101.821398974085
1940.5,1106.1526822667836,1106.1526822667836,1106.1526822667836
1941.5,1110.515991716435,1110.515991716435,1110.515991716435
1942.5,1115.2802580120988,1115.2802580120988,1115.2802580120988
1943.5,1120.3941812801636,1120.3941812801636,1120.3941812801636
1944.5,1125.802550848019,1125.802550848019,1125.802550848019
1945.5,1131.5469560369702,1131.5469560369702,1131.5469560369702
1946.5,1137.5044275136524,1137.5044275136524,1137.5044275136524
1947.5,1143.5484563645562,1143.5484563645562,1143.5484563645562
1948.5,1149.7497482387237,1149.7497482387237,1149.7497482387237
1949.5,1156.4267036414103,1156.4267036414103,1156.4267036414103
1950.5,1163.3532331064168,1163.3532331064168,1163.3532331064168
1951.5,1170.3518906878517,1170.3518906878517,1170.3518906878517
1952.5,1178.1454824187797,1178.1454824187797,1178.1454824187797
1953.5,1187.110703904397,1187.110703904397,1187.110703904397
1954.5,1197.0094848917001,1197.0094848917001,1197.0094848917001
1955.5,1207.5558868178762,1207.5558868178762,1207.5558868178762
1956.5,1218.9065890314623,1218.9065890314623,1218.9065890314623
1957.5,1231.2367670491205,1231.2367670491205,1231.2367670491205
1958.5,1243.7477049557451,1243.7477049557451,1243.7477049557451
1959.5,1256.2338190506805,1256.2338190506805,1256.2338190506805
1960.5,1269.123990937674,1269.123990937674,1269.123990937674
1961.5,1283.2306832541385,1283.2306832541385,1283.2306832541385
1962.5,1297.8659703660755,1297.8659703660755,1297.8659703660755
1963.5,1313.2652318599562,1313.2652318599562,1313.2652318599562
1964.5,1329.0084768532965,1329.0084768532965,1329.0084768532965
1965.5,1344.3980635092225,1344.3980635092225,1344.3980635092225
1966.5,1360.2317613749028,1360.2317613749028,1360.2317613749028
1967.5,1376.2077165516193,1376.2077165516193,1376.2077165516193
1968.5,1391.97223983928,1391.97223983928,1391.97223983928
1969.5,1407.331202170949,1407.331202170949,1407.331202170949
1970.5,1422.801904948419,1422.801904948419,1422.801904948419
1971.5,1438.4710077306436,1438.4710077306436,1438.4710077306436
1972.5,1454.9187412899005,1454.9187412899005,1454.9187412899005
1973.5,1471.1709859854889,1471.1709859854889,1471.1709859854889
1974.5,1486.0709653784427,1486.0709653784427,1486.0709653784427
1975.5,1499.948004511145,1499.948004511145,1499.948004511145
1976.5,1513.7661410526948,1513.7661410526948,1513.7661410526948
1977.5,1528.014752258322,1528.014752258322,1528.014752258322
1978.5,1541.595215431318,1541.595215431318,1541.595215431318
1979.5,1554.7294891696909,1554.7294891696909,1554.7294891696909
1980.5,1567.8214717978917,1567.8214717978917,1567.8214717978917
1981.5,1579.5396525546203,1579.5396525546203,1579.5396525546203
1982.5,1591.737742080275,1591.737742080275,1591.737742080275
